와일드 로즈,"('고만고만한 음악 영화가 아니다. 뮤지션의 꿈을 가진 주인공이 역경을 딛고 일어서는 스타 탄생 영화지만 자신만의 목소리로 하고 싶은 이야기를 분명하게 들려준다. 스코틀랜드 글래스고에 사는 주인공이 컨트리 스타를 꿈꾼다는 동기 설정이 흥미롭고, 거칠고 철없던 젊은 여성이 엄마와 어린 자녀들의 영향으로 성장해 나가는 과정이 마음을 흔든다. 컨트리의 본질부터 주인공의 심경까지 담아낸 음악의 존재감이 상당하다. 노래와 연기 재능을 유감없이 발휘하는 제시 버클리와 엄마와 조력자라는 역할을 넘어서는 대배우 줄리 월터스의 폭넓은 호흡은 여성 영화의 자리까지 만들어낸다. 예상대로 흘러가나 싶은 순간마다 자기 길을 찾아가는 분별력이 가장 큰 미덕이다. 여성, 음악 영화에서 우위를 점하는 수작.', '타고난 가창력으로 스코틀랜드 글래스고의 한 바에서 인기 몰이 중인 로즈의 꿈은 그곳을 벗어나 미국 내슈빌의 스타가 되는 것. 그런데 현실은 순간의 실수로 전과 경력까지 가지게 된 철없는 딸 그리고 10대 때 낳은 두 아이가 있는 싱글맘.\n\xa0하지만 로즈의 1호팬을 자처한 고용주 수잔나와 엄마의 도움으로 런던 BBC를 거쳐 드디어 내슈빌 땅을 밟게 되는데…')"
해치지않아,"('자연과 인간의 공존, 무분별한 개발에 대한 경고, 비정규직과 고용 불안 문제 등 사회의 무거운 주제를 신선한 소재와 설정으로 풀어냈다. 동물원에 동물이 가짜일 리 없다는 선입견은 의심을 품지 않은 편견들로 세상이 구성되어 있음을 방증한다. 동물원조차도 동물을 위한 공간이 아니라는 점은 인간이 동물이 되어 겪는 경험으로 다시금 확인하게 된다. 웃음 속에 감춘 선한 의도가 돋보이지만, 장르영화로서의 재미가 다소 부족한 것은 아쉽다.', '생계형 수습 변호사 ‘태수’에게 찾아온 일생일대의 기회, 위기의 동물원 ‘동산파크’를 구하라!\xa0‘동산파크’의 새 원장이 된 그는 손님은커녕 동물조차 없는 동물원을 살리기 위해\xa0직원들에게 동물로 위장근무 하자는 기상천외한 제안을 한다.\xa0북극곰, 사자, 기린, 고릴라, 나무늘보로 출근한 ‘동산파크’ 5인방.\xa0묵언수행은 기본, 어깨 결림, 근육 뭉침, 뒷목까지 뻐근한 그들의 털 날리는 고군분투가\xa0계속되는 가운데, 목이 타던 ‘태수’는 북극곰의 신분을 망각하고\xa0관람객 앞에서 콜라 한 모금을 마시게 되는데…\xa0\xa0이런 동물원 처음 봐?\xa0선을 넘은 녀석들의 과감한 도전이 시작된다!')"
임파서블 러브,"('전반부가 사랑 이야기라면, 후반부는 그 사랑이 할퀴고 간 쓰린 고통과 마주한 모녀 이야기다. 이때 ‘불가능한 사랑’이라는 영화 제목이 다른 의미로 전후반에 작동하며 적잖은 탄식을 안긴다. 자극적일 수 있는 묘사는 과감하게 생략하고, 두 여성 내면에 휘몰아치는 격랑을 포착하려는 시선이 인상적. 크리스틴 앙고의 자전적 소설을 원작으로 한 작품으로 50년에 걸친 여인의 인생 속에서 당대 사회상을 읽어낼 수 있다.', 'Scene #1. 필연적 만남\n\xa0여자와 남자. 단번에 빠져들어 뜨겁게 타오르다.\n\xa0“우리 사랑은 필연적인 만남이야”\n\xa0\n\xa0Scene #2. 예정된 이별\n\xa0남자가 떠난 후, 여자는 임신을 알게 된다.\n\xa0“아이가 생겼다고 달라지는 건 없어”\n\xa0\n\xa0Scene #3. 잘못된 재회\n\xa0다시 찾아온 남자. 모녀의 인생이 흔들린다.\n\xa0“엄마, 왜 아빠를 사랑했어?”')"
어린 의뢰인,"('영화의 메시지는 강하게 와닿는다. 서두에 ‘제노비스 살인 사건’을 언급하며 목격자들의 유무죄를 묻는 영화는 아동학대 또한 다수의 무관심과 방관이 만드는 비극이라고 강조한다. 아동학대에 대응하지 못하는 공권력 시스템을 지적하면서 무기력한 방관자였던 주인공이 적극적인 인물로 변화하는 과정에 힘을 싣는다. 소소한 웃음부터 공분까지 보편적인 공감대를 끌어낸 이동휘의 역할이 크다. 다만 보여주는 방식에 동의하기는 힘들다. 실화를 바탕으로 재구성한 영화라고 해도 학대 장면은 극의 흐름에 따라 표현 수위가 높아진다. 대중적인 화법을 의식하다 보니 캐릭터의 배치, 전개와 결말이 전형적 구성에 갇히고 말았다. 심각한 사회 문제를 직시하자는 의도가 감정적인 호소에 그쳐 아쉬움을 남긴다.', '당신에게 찾아온 뜨거운 질문!\xa0“당신은 이 아이를 외면하시겠습니까?”\xa0\xa0인생 최대 목표는 오직 성공뿐인 변호사 ‘정엽’\xa0주변에 무관심한 그에게 ‘다빈’과 ‘민준’ 남매가 자꾸 귀찮게 얽힌다.\xa0오랫동안 기다렸던 대형 로펌 합격 소식을 듣게 된 ‘정엽’은 믿을 수 없는 사실을 알게 된다.\xa010살 소녀 ‘다빈’이 7살 남동생을 죽였다는 충격적인 자백\xa0뒤늦게 미안함을 느낀 ‘정엽’은 자신의 모든 것을 걸고\xa0‘다빈’의 엄마 ‘지숙’에게 숨겨진 진실을 밝히려고 하는데…')"
기방도령,"('소재만 솔깃하다. 소재를 발전시켜 나가는 아이디어는 조악하고, 갈등을 짜나가는 방식은 어수선하다. 철저히 ‘병맛’으로 승부하는 것도 아니라서 ‘B급 코미디’로 즐기기에도 애매하다. 로맨스가 전면에 나서는 중반 이후부터는 그나마 솔깃했던 소재마저도 흐지부지하게 소비된다. JYP 픽쳐스가 제작하고 JYP 소속 준호가 주연을 맡고 JYP 히트곡 ‘텔미’를 패러디한 ‘태을미’가 흐르는 <기방도령>을 팬클럽 기획물로 본다면 만족스러울까. 여러 작품을 통해 연기력을 인정받은 준호는 이번에도 안정적이지만, 그가 연기자로서의 포부를 펼치기엔 이 판은 너무 얕다.', '""기왕지사 이리 된 김에 사업을 해보는 게 어떻겠소? \xa0내가 기생이 되겠단 말입니다!""\xa0\xa0수려한 용모와 뛰어난 기예, 여심을 꿰뚫어 보는 타고난 천성의 꽃도령 ‘허색’.\xa0그는 자신이 나고 자란 기방 ‘연풍각’이 폐업 위기에 처하자 조선 최초의 남자 기생이 되기로 결심한다.\xa0\xa0기방결의로 맺어진 25세 괴짜 도인 ‘육갑’과 함께 기획부터 홍보까지 환상의 호흡을 자랑하며\xa0단숨에 조선 최고의 여심스틸러로 등극한 ‘허색’. \xa0입소문이 번지며 조선 사대부 여인들의 마음이 두근거리기 시작한다. \xa0\xa0그러나, 승승장구한 것도 잠시\xa0예기치 못한 인물의 등장으로 잘 나가던 ‘허색’의 사업은 삐거덕거리기 시작하는데…')"
보테로,"('통통한 캐릭터들을 담은 회화와 조각으로 유명한 콜롬비아의 아티스트 페르난도 보테로에 대한 다큐멘터리. 서구 미술을 자기화시키고 그 안에서 자신만의 장르를 만들어낸 그의 작품 세계를 꼼꼼히 보여준다. 딸과 아들이 마치 보테로와 친밀한 큐레이터처럼 등장해 아버지의 삶과 예술을 이야기한다. 무엇보다도 보테로의 수많은 작품들을 체계적인 배경 설명과 함께 보고 들을 수 있는 기회. 보테로가 왜 그런 독특한 캐릭터를 그리게 되었는지 이해할 수 있는 좋은 기회다.\n', '‘현존하는 화가 중 가장 폭넓은 영향력을 행사하는 작가’\n\xa0‘파리 샹젤리제 거리에서 대규모 전시회를 개최한 최초의 살아있는 예술가’\n\xa0‘전세계 주요 도시 100여회 이상 대규모 전시’\n\xa0관능과 풍만함으로 부풀리는 세상!\n\xa0?\n\xa0남미의 피카소, 색채의 마술사!\n\xa0행복을 채우는 예술가, 보테로')"
행복의 단추를 채우는 완벽한 방법,"('그렇다. 우린 손에 잡히지 않는 행복을 좇느라 막상 바로 옆에 있는 소중함은 놓치곤 한다. 귀가 따갑게 들어온 삶의 진리를 반복하는 영화지만, 웨스 앤더슨 풍의 감각적인 미장센과 40-50년대 영화 분위기를 풍기는 카메라 기법, 독특한 캐릭터와 영국 특유의 엇박자 유머가 알콩달콩 섞여서 그만의 개성을 입었다. 드라마틱한 사건이 일어나는 영화가 아니다 보니, 관객에 따라서는 지루하게 다가갈 공산도 있다. <러브 액츄얼리>에서 괴짜 원로 가수를 연기한 빌 나이와 <어바웃 타임>에서 인생의 가치를 알려주는 아버지를 연기한 빌 나이를 좋아하는 관객이라면 눈여겨볼 것. 그런 빌 나이의 두 가지 면모가 이번 영화에 모두 담겼다.', '어린시절 평소와 같이 아버지와 보드게임을 즐기던 형이\n\xa0실종되고 지금까지 아무런 소식이 없다.\n\xa0형의 그늘에서 벗어나지 못한 채 어른이 된 나는\n\xa0어느 날 신원불명의 시체가 발견되었다는 연락을 받고\n\xa0아버지와 함께 안치소로 향한다.\n\xa0형이길 바랐을까\n\xa0형이 아니길 바랐을까\n\xa0틀어지기만 한 아버지와 나의 관계\n\xa0우리도 행복의 단추를 완벽히 채울 수 있을까?')"
라 파미에,"('인생의 전환점을 맞이한 세 남매의 사연을 다룬 프랑스 가족 코미디. 재혼, 실직, 연애라는 난제에 부딪힌 세 사람의 일상이 균열을 일으키고 봉합되는 과정을 유쾌한 필치로 그렸다. 이들 각자의 문제가 ‘자식’이라는 공통분모로 모아지고 해결책을 찾아나가는 구성이 정교하다. 반면에 갈등이 쉽게 풀리고 가벼운 에피소드식 진행이어서 가족애가 주는 무게감은 덜한 편이다. 그럼에도 아옹다옹하면서 서로에게 버팀목이 되어주는 가족의 존재를 되새기기에는 충분하다.', '결혼만 세번째! 사랑 앞에 답정너 로맨티스트 첫째 브누아,  \n\xa0나의 실직은 절대 비밀! 자존심만은 하늘만큼 높은 둘째 피에르, \n\xa0이런 오빠들의 철없음을 받아주느라 누구보다 철든 막내 롤라. \n\xa0 \n\xa0롤라가 평생을 함께 하고 싶은 사랑을 만난 기쁨도 잠시, \n\xa0그녀 인생 최고의 시련이 찾아오는데...')"
레미: 집 없는 아,"('아동 문학의 걸작으로 꼽히는 프랑스 작가 엑토르 말로의 <집 없는 아이>를 영화화했다. 할아버지가 아이들에게 자신의 어린 시절 경험담을 들려주는 회상 형식을 취해 이야기에 쉽게 빠져든다. 고아 소년이 떠돌이 음악가 할아버지와 함께하는 험난한 여정이 자연 풍광, 클래식 음악과 어우러져 고전의 힘을 느끼게 한다. 두 주인공에게 집중하면서 후반부에 극적 효과를 더한 각색이 매끄럽다. 주인공으로 호흡을 맞춘 중견배우 다니엘 오떼유와 아역배우 말룸 파킨, 화자 역할을 맡은 자크 페렝과 엄마 역의 루디빈 사니에 등 프랑스 신구 배우들의 연기를 함께 감상할 수 있다는 것도 즐거움이다.\n', '자신이 버려진 아이란 걸 알게 된 소년 레미는\n\xa0어느 날 거리의 음악가 비탈리스를 만나게 된다.\n\xa0소년이 가진 아름다운 목소리와 노래의 재능을 알아본 비탈리스는\n\xa0레미에게 따뜻한 스승이자 인생 멘토가 되어주고,\n\xa0두 사람은 동물 친구들과 함께 프랑스 전역을 여행하며 공연을 이어간다.\n\xa0\n\xa0거듭되는 시련들 속에서도 희망을 잃지 않고 꿈을 노래하던 레미는\n\xa0어느 날 자신의 출생에 숨겨진 비밀을 풀어줄 단서를 알게 되는데...\n\xa0과연, 레미는 자신의 진짜 가족을 찾을 수 있을까?')"
변신,"('<변신>은 다양한 공포를 담고 변화하는 작품이다. 오컬트 장르의 소재를 빌려 와 하우스호러의 구조를 덧붙여, 심리 공포까지 건드린다. 사탄이 남의 얼굴로 변신하고 나타난다는 설정이 독특하며, 그 안에서 가장 가까운 가족이 다른 얼굴이 되어 나타날 때, 2층 집의 구조를 활용한 공포와 긴장감도 배가된다. 배성우, 성동일, 장영남, 김혜준 등 배우들의 소름끼치는 연기에 더한 정교한 특수분장이 볼거리. 그럼에도 다소 산만하고 과도하게 내닫는 후반 폭주 부분이 전반부의 장점을 이어받지 못해 아쉽다.', ""사람의 모습으로 변신하는 악마가 우리 가족 안에 숨어들면서\xa0기이하고 섬뜩한 사건들이 벌어진다\xa0서로 의심하고 증오하고 분노하는 가운데\xa0구마 사제인 삼촌 '중수'가 예고없이 찾아오는데…\xa0\xa0절대 믿지도 듣지도 마라"")"
